Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41
BehaviorSpace results (NetLogo 6.2.0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trabalho_Pratico_ModeloMelhorado.nlogo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Exp2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/12/2021 15:24:10:286 +0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-16;16;-16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[run number];1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;8;9;9;9;9;10;10;10;10
Retirar_Energia;10;;;;10;;;;10;;;;10;;;;10;;;;10;;;;10;;;;10;;;;10;;;;10;;;
CacadoresNum;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;;1;;;
limpadoresnum;25;;;;25;;;;25;;;;25;;;;25;;;;25;;;;25;;;;25;;;;25;;;;25;;;
nDepositos;10;;;;10;;;;10;;;;10;;;;10;;;;10;;;;10;;;;10;;;;10;;;;10;;;
Cor_Limpadores;135;;;;135;;;;135;;;;135;;;;135;;;;135;;;;135;;;;135;;;;135;;;;135;;;
Limite_residuos;5;;;;5;;;;5;;;;5;;;;5;;;;5;;;;5;;;;5;;;;5;;;;5;;;
energiainicial;100;;;;100;;;;100;;;;100;;;;100;;;;100;;;;100;;;;100;;;;100;;;;100;;;
Cor_Comiloes;25;;;;25;;;;25;;;;25;;;;25;;;;25;;;;25;;;;25;;;;25;;;;25;;;
Lixo_toxico;7;;;;7;;;;7;;;;7;;;;7;;;;7;;;;7;;;;7;;;;7;;;;7;;;
Alimento;10;;;;10;;;;10;;;;10;;;;10;;;;10;;;;10;;;;10;;;;10;;;;10;;;
Add_Energia;40;;;;40;;;;40;;;;40;;;;40;;;;40;;;;40;;;;40;;;;40;;;;40;;;
Reproducao?;false;;;;false;;;;false;;;;false;;;;false;;;;false;;;;false;;;;false;;;;false;;;;false;;;
Lixo_Normal;7;;;;7;;;;7;;;;7;;;;7;;;;7;;;;7;;;;7;;;;7;;;;7;;;
ComiloesNum;25;;;;25;;;;25;;;;25;;;;25;;;;25;;;;25;;;;25;;;;25;;;;25;;;
Cor_Cacadores;5;;;;5;;;;5;;;;5;;;;5;;;;5;;;;5;;;;5;;;;5;;;;5;;;
ticc;250;;;;250;;;;250;;;;250;;;;250;;;;250;;;;250;;;;250;;;;250;;;;250;;;
[steps];10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[initial & final values];count comiloes;count limpadores;count cacadores;count turtles;count comiloes;count limpadores;count cacadores;count turtles;count comiloes;count limpadores;count cacadores;count turtles;count comiloes;count limpadores;count cacadores;count turtles;count comiloes;count limpadores;count cacadores;count turtles;count comiloes;count limpadores;count cacadores;count turtles;count comiloes;count limpadores;count cacadores;count turtles;count comiloes;count limpadores;count cacadores;count turtles;count comiloes;count limpadores;count cacadores;count turtles;count comiloes;count limpadores;count cacadores;count turtles
;16;25;1;42;20;25;1;46;3;25;1;29;12;25;1;38;0;25;1;26;8;21;1;30;7;23;1;31;7;25;1;33;13;24;1;38;8;24;1;33
